experiment,threshold,precision,recall,f1,tp,fp,fn,tn
trend_3year_year_standardized,0.44,0.023622047244094488,0.3333333333333333,0.04411764705882353,3,124,6,1819
trend_3year_year_standardized,0.45,0.024193548387096774,0.3333333333333333,0.045112781954887216,3,121,6,1822
trend_3year_year_standardized,0.46,0.02459016393442623,0.3333333333333333,0.04580152671755725,3,119,6,1824
trend_3year_year_standardized,0.47,0.02459016393442623,0.3333333333333333,0.04580152671755725,3,119,6,1824
trend_3year_year_standardized,0.48,0.025,0.3333333333333333,0.046511627906976744,3,117,6,1826
trend_3year_year_standardized,0.49,0.025210084033613446,0.3333333333333333,0.046875,3,116,6,1827
trend_3year_year_standardized,0.5,0.025423728813559324,0.3333333333333333,0.047244094488188976,3,115,6,1828
trend_3year_year_standardized,0.51,0.02564102564102564,0.3333333333333333,0.047619047619047616,3,114,6,1829
trend_3year_year_standardized,0.52,0.02608695652173913,0.3333333333333333,0.04838709677419355,3,112,6,1831
trend_3year_year_standardized,0.53,0.02631578947368421,0.3333333333333333,0.04878048780487805,3,111,6,1832
trend_3year_year_standardized,0.54,0.01834862385321101,0.2222222222222222,0.03389830508474576,2,107,7,1836
trend_3year_year_standardized,0.55,0.018518518518518517,0.2222222222222222,0.03418803418803419,2,106,7,1837
trend_3year_year_standardized,0.56,0.018518518518518517,0.2222222222222222,0.03418803418803419,2,106,7,1837
trend_3year_year_standardized,0.57,0.018518518518518517,0.2222222222222222,0.03418803418803419,2,106,7,1837
trend_3year_year_standardized,0.58,0.018867924528301886,0.2222222222222222,0.034782608695652174,2,104,7,1839
trend_3year_year_standardized,0.59,0.018867924528301886,0.2222222222222222,0.034782608695652174,2,104,7,1839
trend_3year_year_standardized,0.6,0.019230769230769232,0.2222222222222222,0.035398230088495575,2,102,7,1841
trend_3year_year_standardized,0.61,0.019230769230769232,0.2222222222222222,0.035398230088495575,2,102,7,1841
trend_3year_year_standardized,0.62,0.019230769230769232,0.2222222222222222,0.035398230088495575,2,102,7,1841
trend_3year_year_standardized,0.63,0.019417475728155338,0.2222222222222222,0.03571428571428571,2,101,7,1842
trend_3year_year_standardized,0.64,0.0196078431372549,0.2222222222222222,0.036036036036036036,2,100,7,1843
trend_3year_year_standardized,0.65,0.0196078431372549,0.2222222222222222,0.036036036036036036,2,100,7,1843
trend_3year_year_standardized,0.66,0.019801980198019802,0.2222222222222222,0.03636363636363636,2,99,7,1844
trend_3year_year_standardized,0.67,0.02040816326530612,0.2222222222222222,0.037383177570093455,2,96,7,1847
trend_3year_year_standardized,0.68,0.02040816326530612,0.2222222222222222,0.037383177570093455,2,96,7,1847
trend_3year_year_standardized,0.69,0.021505376344086023,0.2222222222222222,0.0392156862745098,2,91,7,1852
trend_3year_year_standardized,0.7,0.021739130434782608,0.2222222222222222,0.039603960396039604,2,90,7,1853
trend_3year_year_standardized,0.71,0.021739130434782608,0.2222222222222222,0.039603960396039604,2,90,7,1853
trend_3year_year_standardized,0.72,0.022222222222222223,0.2222222222222222,0.04040404040404041,2,88,7,1855
trend_3year_year_standardized,0.73,0.022727272727272728,0.2222222222222222,0.041237113402061855,2,86,7,1857
trend_3year_year_standardized,0.74,0.023529411764705882,0.2222222222222222,0.0425531914893617,2,83,7,1860
trend_3year_year_standardized,0.75,0.023529411764705882,0.2222222222222222,0.0425531914893617,2,83,7,1860
trend_3year_year_standardized,0.76,0.023529411764705882,0.2222222222222222,0.0425531914893617,2,83,7,1860
trend_3year_year_standardized,0.77,0.023809523809523808,0.2222222222222222,0.043010752688172046,2,82,7,1861
trend_3year_year_standardized,0.78,0.023809523809523808,0.2222222222222222,0.043010752688172046,2,82,7,1861
trend_3year_year_standardized,0.79,0.024691358024691357,0.2222222222222222,0.044444444444444446,2,79,7,1864
trend_3year_year_standardized,0.8,0.024691358024691357,0.2222222222222222,0.044444444444444446,2,79,7,1864
trend_3year_year_standardized,0.81,0.02531645569620253,0.2222222222222222,0.045454545454545456,2,77,7,1866
trend_3year_year_standardized,0.82,0.02564102564102564,0.2222222222222222,0.04597701149425287,2,76,7,1867
trend_3year_year_standardized,0.83,0.025974025974025976,0.2222222222222222,0.046511627906976744,2,75,7,1868
trend_3year_year_standardized,0.84,0.02631578947368421,0.2222222222222222,0.047058823529411764,2,74,7,1869
trend_3year_year_standardized,0.85,0.02666666666666667,0.2222222222222222,0.047619047619047616,2,73,7,1870
trend_3year_year_standardized,0.86,0.02666666666666667,0.2222222222222222,0.047619047619047616,2,73,7,1870
trend_3year_year_standardized,0.87,0.02702702702702703,0.2222222222222222,0.04819277108433735,2,72,7,1871
trend_3year_year_standardized,0.88,0.02702702702702703,0.2222222222222222,0.04819277108433735,2,72,7,1871
trend_3year_year_standardized,0.89,0.0273972602739726,0.2222222222222222,0.04878048780487805,2,71,7,1872
trend_3year_year_standardized,0.9,0.02857142857142857,0.2222222222222222,0.05063291139240506,2,68,7,1875
trend_3year_year_standardized,0.91,0.029411764705882353,0.2222222222222222,0.05194805194805195,2,66,7,1877
trend_3year_year_standardized,0.92,0.03076923076923077,0.2222222222222222,0.05405405405405406,2,63,7,1880
trend_3year_year_standardized,0.93,0.031746031746031744,0.2222222222222222,0.05555555555555555,2,61,7,1882
trend_3year_year_standardized,0.94,0.03333333333333333,0.2222222222222222,0.057971014492753624,2,58,7,1885
